game_count,related_tags,related_tags_url,short_text,title,url
55080 ,Pixel Art||Adventure||Singleplayer||Role Playing||Retro||Platformer,https://www.itch.io/games/tag-2d/tag-pixel-art||https://www.itch.io/games/genre-adventure/tag-2d||https://www.itch.io/games/tag-2d/tag-singleplayer||https://www.itch.io/games/genre-rpg/tag-2d||https://www.itch.io/games/tag-2d/tag-retro||https://www.itch.io/games/genre-platformer/tag-2d,"Uses two-dimensional ""sprites"", 2D images created and used on a flat plane, as opposed to the three-dimensional models or environments found in 3D games.",2D,https://www.itch.io/games/tag-2d
5517 ,2D||Role Playing||Pixel Art||Visual Novel||Adventure||Romance,https://www.itch.io/games/tag-2d/tag-fantasy||https://www.itch.io/games/genre-rpg/tag-fantasy||https://www.itch.io/games/tag-fantasy/tag-pixel-art||https://www.itch.io/games/genre-visual-novel/tag-fantasy||https://www.itch.io/games/genre-adventure/tag-fantasy||https://www.itch.io/games/tag-fantasy/tag-romance,"Set in a fictional universe, often (but not always) with fantastic or supernatural elements, alternate worlds, magic and monsters.",Fantasy,https://www.itch.io/games/tag-fantasy
9162 ,2D||Sci-fi||Pixel Art||Action||Shooter||Arcade,https://www.itch.io/games/tag-2d/tag-space||https://www.itch.io/games/tag-science-fiction/tag-space||https://www.itch.io/games/tag-pixel-art/tag-space||https://www.itch.io/games/genre-action/tag-space||https://www.itch.io/games/genre-shooter/tag-space||https://www.itch.io/games/tag-arcade/tag-space,"The larger universe outside of Earth's atmosphere. Sometimes really, really far outside of it.",Space,https://www.itch.io/games/tag-space
2351 ,Shooter||Action||Survival||Horror||2D||Singleplayer,https://www.itch.io/games/genre-shooter/tag-zombies||https://www.itch.io/games/genre-action/tag-zombies||https://www.itch.io/games/tag-survival/tag-zombies||https://www.itch.io/games/tag-horror/tag-zombies||https://www.itch.io/games/tag-2d/tag-zombies||https://www.itch.io/games/tag-singleplayer/tag-zombies,"Shambling undead humans who died after being infected by some sort of virus and are now ""alive"" again, commonly known for the desire to kill living human beings. Commonly paired with the (post-)apocalyptic genre.",Zombies,https://www.itch.io/games/tag-zombies
545 ,Visual Novel||Romance||Interactive Fiction||2D||Short||Story Rich,https://www.itch.io/games/genre-visual-novel/tag-slice-of-life||https://www.itch.io/games/tag-romance/tag-slice-of-life||https://www.itch.io/games/tag-interactive-fiction/tag-slice-of-life||https://www.itch.io/games/tag-2d/tag-slice-of-life||https://www.itch.io/games/tag-short/tag-slice-of-life||https://www.itch.io/games/tag-slice-of-life/tag-story-rich,"Work centered on following a character through the ups and downs during a notable part of their life. There's often more of an emphasis on characterization, relationships, and a series of dramatic events than on strict adherence to conventional story structures and plotlines.",Slice Of Life,https://www.itch.io/games/tag-slice-of-life
165 ,Visual Novel||2D||Erotic||Singleplayer||renpy||Adventure,https://www.itch.io/games/genre-visual-novel/tag-male-protagonist||https://www.itch.io/games/tag-2d/tag-male-protagonist||https://www.itch.io/games/tag-erotic/tag-male-protagonist||https://www.itch.io/games/tag-male-protagonist/tag-singleplayer||https://www.itch.io/games/tag-male-protagonist/tag-renpy||https://www.itch.io/games/genre-adventure/tag-male-protagonist,,Male protagonist,https://www.itch.io/games/tag-male-protagonist
23 ,Gay||Visual Novel||LGBT||Yaoi||Furry||Romance,https://www.itch.io/games/tag-bara/tag-gay||https://www.itch.io/games/genre-visual-novel/tag-bara||https://www.itch.io/games/tag-bara/tag-lgbt||https://www.itch.io/games/tag-bara/tag-yaoi||https://www.itch.io/games/tag-bara/tag-furry||https://www.itch.io/games/tag-bara/tag-romance,"Bara is a genre of gay art emphasizing masculinity as a core component, typically featuring characters with varying degrees of muscle, body fat, and body hair.",Bara,https://www.itch.io/games/tag-bara
378 ,Platformer||2D||Singleplayer||Pixel Art||Action||Retro,https://www.itch.io/games/genre-platformer/tag-speedrun||https://www.itch.io/games/tag-2d/tag-speedrun||https://www.itch.io/games/tag-singleplayer/tag-speedrun||https://www.itch.io/games/tag-pixel-art/tag-speedrun||https://www.itch.io/games/genre-action/tag-speedrun||https://www.itch.io/games/tag-retro/tag-speedrun,,Speedrun,https://www.itch.io/games/tag-speedrun
594 ,Action||Shooter||2D||3D||War||Singleplayer,https://www.itch.io/games/genre-action/tag-tanks||https://www.itch.io/games/genre-shooter/tag-tanks||https://www.itch.io/games/tag-2d/tag-tanks||https://www.itch.io/games/tag-3d/tag-tanks||https://www.itch.io/games/tag-tanks/tag-war||https://www.itch.io/games/tag-singleplayer/tag-tanks,,Tanks,https://www.itch.io/games/tag-tanks
320 ,2D||Pixel Art||Action||Halloween||Platformer||Spooky,https://www.itch.io/games/tag-2d/tag-skeletons||https://www.itch.io/games/tag-pixel-art/tag-skeletons||https://www.itch.io/games/genre-action/tag-skeletons||https://www.itch.io/games/tag-halloween/tag-skeletons||https://www.itch.io/games/genre-platformer/tag-skeletons||https://www.itch.io/games/tag-skeletons/tag-spooky,Bones and stuff,Skeletons,https://www.itch.io/games/tag-skeletons
538 ,2D||3D||Action||Singleplayer||Strategy||Simulation,https://www.itch.io/games/tag-2d/tag-real-time||https://www.itch.io/games/tag-3d/tag-real-time||https://www.itch.io/games/genre-action/tag-real-time||https://www.itch.io/games/tag-real-time/tag-singleplayer||https://www.itch.io/games/genre-strategy/tag-real-time||https://www.itch.io/games/genre-simulation/tag-real-time,,Real-Time,https://www.itch.io/games/tag-real-time
340 ,Ludum Dare||Action||Platformer||Shooter||2D||Pixel Art,https://www.itch.io/games/tag-ludum-dare/tag-ludum-dare-32||https://www.itch.io/games/genre-action/tag-ludum-dare-32||https://www.itch.io/games/genre-platformer/tag-ludum-dare-32||https://www.itch.io/games/genre-shooter/tag-ludum-dare-32||https://www.itch.io/games/tag-2d/tag-ludum-dare-32||https://www.itch.io/games/tag-ludum-dare-32/tag-pixel-art,http://ludumdare.com/compo/2015/04/15/welcome-to-ludum-dare-32/,Ludum Dare 32,https://www.itch.io/games/tag-ludum-dare-32
25 ,Visual Novel||Female Protagonist||Interactive Fiction||Dark||Other||artgame,https://www.itch.io/games/genre-visual-novel/tag-kinect||https://www.itch.io/games/tag-female-protagonist/tag-kinect||https://www.itch.io/games/tag-interactive-fiction/tag-kinect||https://www.itch.io/games/tag-dark/tag-kinect||https://www.itch.io/games/genre-other/tag-kinect||https://www.itch.io/games/tag-artgame/tag-kinect,,kinect,https://www.itch.io/games/tag-kinect
43 ,Puzzle||3D||Singleplayer||2D||Platformer||Unity,https://www.itch.io/games/genre-puzzle/tag-perspective||https://www.itch.io/games/tag-3d/tag-perspective||https://www.itch.io/games/tag-perspective/tag-singleplayer||https://www.itch.io/games/tag-2d/tag-perspective||https://www.itch.io/games/genre-platformer/tag-perspective||https://www.itch.io/games/tag-perspective/tag-unity,,Perspective,https://www.itch.io/games/tag-perspective
34 ,Game Boy||Pixel Art||Adventure||2D||Retro||Action,https://www.itch.io/games/tag-gameboy/tag-gameboy-advance||https://www.itch.io/games/tag-gameboy-advance/tag-pixel-art||https://www.itch.io/games/genre-adventure/tag-gameboy-advance||https://www.itch.io/games/tag-2d/tag-gameboy-advance||https://www.itch.io/games/tag-gameboy-advance/tag-retro||https://www.itch.io/games/genre-action/tag-gameboy-advance,,Game Boy Advance,https://www.itch.io/games/tag-gameboy-advance
37 ,Action||Arcade||Platformer||Food||Other||Racing,https://www.itch.io/games/genre-action/tag-barfcade||https://www.itch.io/games/tag-arcade/tag-barfcade||https://www.itch.io/games/genre-platformer/tag-barfcade||https://www.itch.io/games/tag-barfcade/tag-food||https://www.itch.io/games/genre-other/tag-barfcade||https://www.itch.io/games/tag-barfcade/tag-racing,,Barfcade,https://www.itch.io/games/tag-barfcade
25 ,8-Bit||Action||Retro||Commodore 64||Puzzle||Shooter,https://www.itch.io/games/tag-8-bit/tag-vic-20||https://www.itch.io/games/genre-action/tag-vic-20||https://www.itch.io/games/tag-retro/tag-vic-20||https://www.itch.io/games/tag-commodore-64/tag-vic-20||https://www.itch.io/games/genre-puzzle/tag-vic-20||https://www.itch.io/games/genre-shooter/tag-vic-20,Applications made for the Commodore VIC-20,VIC-20,https://www.itch.io/games/tag-vic-20
7 ,glitch||Pixel Art||Drawing||Level Editor||Unity||2D,https://www.itch.io/game-assets/tag-brushes/tag-glitch||https://www.itch.io/game-assets/tag-brushes/tag-pixel-art||https://www.itch.io/game-assets/tag-brushes/tag-drawing||https://www.itch.io/game-assets/tag-brushes/tag-level-editor||https://www.itch.io/game-assets/tag-brushes/tag-unity||https://www.itch.io/game-assets/tag-2d/tag-brushes,Art assets to be used used for painting,Brushes,https://www.itch.io/game-assets/tag-brushes
8 ,Singleplayer||Visual Novel||Role Playing||Romance||Interactive Fiction||Exploration,https://www.itch.io/games/tag-period-piece/tag-singleplayer||https://www.itch.io/games/genre-visual-novel/tag-period-piece||https://www.itch.io/games/genre-rpg/tag-period-piece||https://www.itch.io/games/tag-period-piece/tag-romance||https://www.itch.io/games/tag-interactive-fiction/tag-period-piece||https://www.itch.io/games/tag-exploration/tag-period-piece,,Period Piece,https://www.itch.io/games/tag-period-piece
52 ,2D||Singleplayer||Puzzle||Adventure||Unity||Action,https://www.itch.io/games/tag-2d/tag-stop-motion||https://www.itch.io/games/tag-singleplayer/tag-stop-motion||https://www.itch.io/games/genre-puzzle/tag-stop-motion||https://www.itch.io/games/genre-adventure/tag-stop-motion||https://www.itch.io/games/tag-stop-motion/tag-unity||https://www.itch.io/games/genre-action/tag-stop-motion,,stop-motion,https://www.itch.io/games/tag-stop-motion
51 ,Global Game Jam||Action||2D||Arcade||Multiplayer||Puzzle,https://www.itch.io/games/tag-ggj15/tag-global-game-jam||https://www.itch.io/games/genre-action/tag-ggj15||https://www.itch.io/games/tag-2d/tag-ggj15||https://www.itch.io/games/tag-arcade/tag-ggj15||https://www.itch.io/games/tag-ggj15/tag-multiplayer||https://www.itch.io/games/genre-puzzle/tag-ggj15,Games submitted for Global Game Jam 2015,ggj15,https://www.itch.io/games/tag-ggj15
74 ,2D||Pixel Art||Singleplayer||Action||Arcade||Other,https://www.itch.io/games/tag-2d/tag-sfml||https://www.itch.io/games/tag-pixel-art/tag-sfml||https://www.itch.io/games/tag-sfml/tag-singleplayer||https://www.itch.io/games/genre-action/tag-sfml||https://www.itch.io/games/tag-arcade/tag-sfml||https://www.itch.io/games/genre-other/tag-sfml,Simple and Fast Multimedia Library is a cross-platform tool for building games and other interactive applications,SFML,https://www.itch.io/games/tag-sfml
96 ,Puzzle||2D||Singleplayer||Unity||Casual||Arcade,https://www.itch.io/games/genre-puzzle/tag-rotation||https://www.itch.io/games/tag-2d/tag-rotation||https://www.itch.io/games/tag-rotation/tag-singleplayer||https://www.itch.io/games/tag-rotation/tag-unity||https://www.itch.io/games/tag-casual/tag-rotation||https://www.itch.io/games/tag-arcade/tag-rotation,Where rotating something is a core mechanic,Rotation,https://www.itch.io/games/tag-rotation
94 ,Sports||2D||Arcade||Retro||Action||Singleplayer,https://www.itch.io/games/genre-sports/tag-tennis||https://www.itch.io/games/tag-2d/tag-tennis||https://www.itch.io/games/tag-arcade/tag-tennis||https://www.itch.io/games/tag-retro/tag-tennis||https://www.itch.io/games/genre-action/tag-tennis||https://www.itch.io/games/tag-singleplayer/tag-tennis,,Tennis,https://www.itch.io/games/tag-tennis
41 ,2D||Pixel Art||Adventure||Singleplayer||Puzzle||Exploration,https://www.itch.io/games/tag-2d/tag-norway||https://www.itch.io/games/tag-norway/tag-pixel-art||https://www.itch.io/games/genre-adventure/tag-norway||https://www.itch.io/games/tag-norway/tag-singleplayer||https://www.itch.io/games/genre-puzzle/tag-norway||https://www.itch.io/games/tag-exploration/tag-norway,,norway,https://www.itch.io/games/tag-norway
36 ,Action||Fighting||2D||Pixel Art||3D||Singleplayer,https://www.itch.io/games/genre-action/tag-kung-fu||https://www.itch.io/games/tag-fighting/tag-kung-fu||https://www.itch.io/games/tag-2d/tag-kung-fu||https://www.itch.io/games/tag-kung-fu/tag-pixel-art||https://www.itch.io/games/tag-3d/tag-kung-fu||https://www.itch.io/games/tag-kung-fu/tag-singleplayer,,Kung Fu,https://www.itch.io/games/tag-kung-fu
12 ,Adventure||LÖVE||Procedural Generation||Shooter||2D||Pixel Art,https://www.itch.io/games/genre-adventure/tag-sharecart1000||https://www.itch.io/games/tag-love2d/tag-sharecart1000||https://www.itch.io/games/tag-procedural/tag-sharecart1000||https://www.itch.io/games/genre-shooter/tag-sharecart1000||https://www.itch.io/games/tag-2d/tag-sharecart1000||https://www.itch.io/games/tag-pixel-art/tag-sharecart1000,A shared savefile system and color palette for games. Learn more: ,SHARECART1000,https://www.itch.io/games/tag-sharecart1000
87 ,2D||Other||Adventure||Singleplayer||Pixel Art||Action,https://www.itch.io/games/tag-2d/tag-voice-controlled||https://www.itch.io/games/genre-other/tag-voice-controlled||https://www.itch.io/games/genre-adventure/tag-voice-controlled||https://www.itch.io/games/tag-singleplayer/tag-voice-controlled||https://www.itch.io/games/tag-pixel-art/tag-voice-controlled||https://www.itch.io/games/genre-action/tag-voice-controlled,,voice-controlled,https://www.itch.io/games/tag-voice-controlled
58 ,Simulation||Role Playing||Life Simulation||2D||Singleplayer||Pixel Art,https://www.itch.io/games/genre-simulation/tag-job-system||https://www.itch.io/games/genre-rpg/tag-job-system||https://www.itch.io/games/tag-job-system/tag-life-simulation||https://www.itch.io/games/tag-2d/tag-job-system||https://www.itch.io/games/tag-job-system/tag-singleplayer||https://www.itch.io/games/tag-job-system/tag-pixel-art,,job-system,https://www.itch.io/games/tag-job-system
87 ,2D||Singleplayer||Simulation||Other||Pixel Art||Interactive Fiction,https://www.itch.io/games/tag-2d/tag-internet||https://www.itch.io/games/tag-internet/tag-singleplayer||https://www.itch.io/games/genre-simulation/tag-internet||https://www.itch.io/games/genre-other/tag-internet||https://www.itch.io/games/tag-internet/tag-pixel-art||https://www.itch.io/games/tag-interactive-fiction/tag-internet,The internet,Internet,https://www.itch.io/games/tag-internet
