name,num_players,url
Counter-Strike: Global Offensive,1162382,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/
Dota 2,583460,https://store.steampowered.com/app/570/Dota_2/
PLAYERUNKNOWN'S BATTLEGROUNDS,170853,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/
Mount & Blade II: Bannerlord,165829,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/
Grand Theft Auto V,141640,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/
Tom Clancy's Rainbow Six Siege,127516,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/
Football Manager 2020,114215,https://store.steampowered.com/app/1100600/Football_Manager_2020/
ARK: Survival Evolved,98207,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/
Rust,88038,https://store.steampowered.com/app/252490/Rust/
Source SDK Base 2007,83810,https://steamcommunity.com/app/218
Rocket League,76844,https://store.steampowered.com/app/252950/Rocket_League/
Destiny 2,75315,https://store.steampowered.com/app/1085660/Destiny_2/
Team Fortress 2,63891,https://store.steampowered.com/app/440/Team_Fortress_2/
Path of Exile,60529,https://store.steampowered.com/app/238960/Path_of_Exile/
Warframe,60266,https://store.steampowered.com/app/230410/Warframe/
Garry's Mod,53007,https://store.steampowered.com/app/4000/Garrys_Mod/
Terraria,52771,https://store.steampowered.com/app/105600/Terraria/
Euro Truck Simulator 2,48382,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/
MONSTER HUNTER: WORLD,47969,https://store.steampowered.com/app/582010/MONSTER_HUNTER_WORLD/
Sid Meier's Civilization VI,47832,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/
Dead by Daylight,39430,https://store.steampowered.com/app/381210/Dead_by_Daylight/
The Elder Scrolls Online,38721,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/
The Witcher 3: Wild Hunt,35989,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/
War Thunder,35373,https://store.steampowered.com/app/236390/War_Thunder/
Sid Meier's Civilization V,35313,https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/
Unturned,33890,https://store.steampowered.com/app/304930/Unturned/
Stardew Valley,31949,https://store.steampowered.com/app/413150/Stardew_Valley/
World of Tanks Blitz,30891,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/
Last Oasis,29684,https://store.steampowered.com/app/903950/Last_Oasis/
Counter-Strike,27862,https://store.steampowered.com/app/10/CounterStrike/
Hearts of Iron IV,26517,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/
Farming Simulator 19,26458,https://store.steampowered.com/app/787860/Farming_Simulator_19/
PAYDAY 2,26059,https://store.steampowered.com/app/218620/PAYDAY_2/
Black Desert Online,25486,https://store.steampowered.com/app/582660/Black_Desert_Online/
Borderlands 3,25376,https://store.steampowered.com/app/397540/Borderlands_3/
Arma 3,25332,https://store.steampowered.com/app/107410/Arma_3/
Cities: Skylines,24437,https://store.steampowered.com/app/255710/Cities_Skylines/
Paladins,24141,https://store.steampowered.com/app/444090/Paladins/
Total War: WARHAMMER II,24073,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/
DayZ,24061,https://store.steampowered.com/app/221100/DayZ/
Wallpaper Engine,23553,https://store.steampowered.com/app/431960/Wallpaper_Engine/
Brawlhalla,23511,https://store.steampowered.com/app/291550/Brawlhalla/
Age of Empires II: Definitive Edition,23029,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/
Europa Universalis IV,22670,https://store.steampowered.com/app/236850/Europa_Universalis_IV/
Stellaris,22310,https://store.steampowered.com/app/281990/Stellaris/
Risk of Rain 2,21856,https://store.steampowered.com/app/632360/Risk_of_Rain_2/
FINAL FANTASY XIV Online,20970,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/
The Elder Scrolls V: Skyrim Special Edition,20673,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/
SMITE,20369,https://store.steampowered.com/app/386360/SMITE/
Football Manager 2019,20329,https://store.steampowered.com/app/872790/Football_Manager_2019/
RimWorld,19214,https://store.steampowered.com/app/294100/RimWorld/
7 Days to Die,19101,https://store.steampowered.com/app/251570/7_Days_to_Die/
Fallout 4,18157,https://store.steampowered.com/app/377160/Fallout_4/
eFootball PES 2020,17108,https://store.steampowered.com/app/996470/eFootball__PES_2020/
Don't Starve Together,16752,https://store.steampowered.com/app/322330/Dont_Starve_Together/
Mount & Blade: Warband,16654,https://store.steampowered.com/app/48700/Mount__Blade_Warband/
Divinity: Original Sin 2,16442,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/
Spacewar,16183,https://steamcommunity.com/app/480
Red Dead Redemption 2,15940,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/
Tabletop Simulator,15555,https://store.steampowered.com/app/286160/Tabletop_Simulator/
No Man's Sky,15538,https://store.steampowered.com/app/275850/No_Mans_Sky/
NBA 2K20,15270,https://store.steampowered.com/app/1089350/NBA_2K20/
Age of Empires II (2013),15161,https://store.steampowered.com/app/221380/Age_of_Empires_II_2013/
Left 4 Dead 2,14812,https://store.steampowered.com/app/550/Left_4_Dead_2/
Dying Light,14698,https://store.steampowered.com/app/239140/Dying_Light/
Conan Exiles,14613,https://store.steampowered.com/app/440900/Conan_Exiles/
Factorio,13641,https://store.steampowered.com/app/427520/Factorio/
The Elder Scrolls V: Skyrim,13204,https://store.steampowered.com/app/72850/The_Elder_Scrolls_V_Skyrim/
Assassin's Creed Odyssey,12655,https://store.steampowered.com/app/812140/Assassins_Creed_Odyssey/
RESIDENT EVIL 3,12383,https://store.steampowered.com/app/952060/RESIDENT_EVIL_3/
Dota Underlords,12022,https://store.steampowered.com/app/1046930/Dota_Underlords/
Planet Zoo,11888,https://store.steampowered.com/app/703080/Planet_Zoo/
Human: Fall Flat,11129,https://store.steampowered.com/app/477160/Human_Fall_Flat/
Space Engineers,11003,https://store.steampowered.com/app/244850/Space_Engineers/
VRChat,10844,https://store.steampowered.com/app/438100/VRChat/
DARK SOULS™ III,10720,https://store.steampowered.com/app/374320/DARK_SOULS_III/
Total War: ROME II - Emperor Edition,10563,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/
DOOM Eternal,10197,https://store.steampowered.com/app/782330/DOOM_Eternal/
Crusader Kings II,10104,https://store.steampowered.com/app/203770/Crusader_Kings_II/
Elite Dangerous,9939,https://store.steampowered.com/app/359320/Elite_Dangerous/
F1 2019,9880,https://store.steampowered.com/app/928600/F1_2019/
Total War: THREE KINGDOMS,9636,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/
Counter-Strike: Source,9592,https://store.steampowered.com/app/240/CounterStrike_Source/
Green Hell,9108,https://store.steampowered.com/app/815370/Green_Hell/
The Forest,9005,https://store.steampowered.com/app/242760/The_Forest/
Albion Online,8985,https://store.steampowered.com/app/761890/Albion_Online/
Yu-Gi-Oh! Duel Links,8899,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/
Killing Floor 2,8283,https://store.steampowered.com/app/232090/Killing_Floor_2/
The Sims(TM) 3,8231,https://store.steampowered.com/app/47890/The_Sims_3/
World of Warships,8110,https://store.steampowered.com/app/552990/World_of_Warships/
The Binding of Isaac: Rebirth,8101,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/
Tomb Raider,7902,https://store.steampowered.com/app/203160/Tomb_Raider/
Black Desert,7827,https://store.steampowered.com/app/582660/Black_Desert_Online/
Company of Heroes 2,7735,https://store.steampowered.com/app/231430/Company_of_Heroes_2/
BeamNG.drive,7618,https://store.steampowered.com/app/284160/BeamNGdrive/
Soundpad,7579,https://store.steampowered.com/app/629520/Soundpad/
Hunt: Showdown,7566,https://store.steampowered.com/app/594650/Hunt_Showdown/
Slay the Spire,7453,https://store.steampowered.com/app/646570/Slay_the_Spire/
Football Manager 2018,7313,https://steamcommunity.com/app/624090
NGU IDLE,7277,https://store.steampowered.com/app/1147690/NGU_IDLE/
