game_name,game_release_date,game_url
Dying Light Enhanced Edition,,https://store.steampowered.com/app/239140/Dying_Light/
Resident Evil / biohazard HD REMASTER,"19 Jan, 2016",https://store.steampowered.com/app/304240/Resident_Evil__biohazard_HD_REMASTER/
Counter-Strike: Global Offensive,"21 Aug, 2012",https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/
LEGO Batman: The Videogame,"11 Nov, 2014",https://store.steampowered.com/app/21000/LEGO_Batman_The_Videogame/
Saints Row IV,"15 Jul, 2014",https://store.steampowered.com/app/206420/Saints_Row_IV/
Total War: MEDIEVAL II - Definitive Edition,"27 Nov, 2007",https://store.steampowered.com/app/4700/Total_War_MEDIEVAL_II__Definitive_Edition/
Destiny 2,"10 Dec, 2019",https://store.steampowered.com/app/1085660/Destiny_2/
Galactic Civilizations III,"24 Oct, 2019",https://store.steampowered.com/app/226860/Galactic_Civilizations_III/
Farming Simulator 19,"22 Oct, 2019",https://store.steampowered.com/app/787860/Farming_Simulator_19/
Power Rangers: Battle for the Grid,,https://store.steampowered.com/app/1110100/Power_Rangers_Battle_for_the_Grid/
Kingdom Under Fire 2,"18 Nov, 2019",https://store.steampowered.com/app/1132210/Kingdom_Under_Fire_2/
Train Sim World 2020,"15 Aug, 2019",https://store.steampowered.com/app/530070/Train_Sim_World_2020/
Halo: The Master Chief Collection,"3 Dec, 2019",https://store.steampowered.com/app/976730/Halo_The_Master_Chief_Collection/
Kingdom Come: Deliverance,"28 May, 2019",https://store.steampowered.com/app/379430/Kingdom_Come_Deliverance/
Batman: Arkham Knight,"28 Nov, 2018",https://store.steampowered.com/app/208650/Batman_Arkham_Knight/
MudRunner,"23 Oct, 2018",https://store.steampowered.com/app/675010/MudRunner/
BATTLETECH,"18 Oct, 2018",https://store.steampowered.com/app/637090/BATTLETECH/
Company of Heroes 2,"24 Jun, 2013",https://store.steampowered.com/app/231430/Company_of_Heroes_2/
RESIDENT EVIL 2 / BIOHAZARD RE:2,"24 Jan, 2019",https://store.steampowered.com/app/883710/RESIDENT_EVIL_2__BIOHAZARD_RE2/
ARK: Survival Evolved,"1 Sep, 2016",https://store.steampowered.com/app/346110/ARK_Survival_Evolved/
Fallout 4,"10 Nov, 2015",https://store.steampowered.com/app/377160/Fallout_4/
Saints Row: The Third,"5 Nov, 2012",https://store.steampowered.com/app/55230/Saints_Row_The_Third/
Dungeon Defenders,,https://store.steampowered.com/app/65800/Dungeon_Defenders/
Fallout New Vegas,"6 Feb, 2012",https://store.steampowered.com/app/22380/Fallout_New_Vegas/
Resident Evil 7,"23 Jan, 2017",https://store.steampowered.com/app/418370/RESIDENT_EVIL_7_biohazard__BIOHAZARD_7_resident_evil/
The Witcher 3: Wild Hunt,"30 Aug, 2016",https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/
Aliens Colonial Marines,,https://store.steampowered.com/app/49540/Aliens_Colonial_Marines_Collection/
Jurassic World Evolution,,https://store.steampowered.com/app/648350/Jurassic_World_Evolution/
