game_name,game_release_date,game_url
Mount & Blade II: Bannerlord,"30 Mar, 2020",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_topsellers_150_1
Sid Meier's Civilization VI : Platinum Edition,,https://store.steampowered.com/bundle/12218/Sid_Meiers_Civilization_VI__Platinum_Edition/?snr=1_7_7_topsellers_150_1
No Man's Sky,"12 Aug, 2016",https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_topsellers_150_1
Green Hell,"5 Sep, 2019",https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_topsellers_150_1
DOOM Eternal,"19 Mar, 2020",https://store.steampowered.com/app/782330/DOOM_Eternal/?snr=1_7_7_topsellers_150_1
Sid Meier's Civilization® VI: Gathering Storm,"13 Feb, 2019",https://store.steampowered.com/app/947510/Sid_Meiers_Civilization_VI_Gathering_Storm/?snr=1_7_7_topsellers_150_1
RESIDENT EVIL 3,"2 Apr, 2020",https://store.steampowered.com/app/952060/RESIDENT_EVIL_3/?snr=1_7_7_topsellers_150_1
Sid Meier’s Civilization® VI,"20 Oct, 2016",https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_topsellers_150_1
Red Dead Redemption 2,"5 Dec, 2019",https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_topsellers_150_1
Half-Life: Alyx,"23 Mar, 2020",https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_topsellers_150_1
Half-Life: Alyx,"23 Mar, 2020",https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_topsellers_150_1
My Time At Portia,"15 Jan, 2019",https://store.steampowered.com/app/666140/My_Time_At_Portia/?snr=1_7_7_topsellers_150_1
The Elder Scrolls Online - Elsweyr,"21 May, 2019",https://store.steampowered.com/app/925100/The_Elder_Scrolls_Online__Elsweyr/?snr=1_7_7_topsellers_150_1
Tabletop Simulator,"5 Jun, 2015",https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_topsellers_150_1
